recall,precision,f1,roc_auc,informedness,markedness,mcc
0.8325435775935014,0.8110625669771659,0.8216626999039626,0.8921150287232298,0.6082993744822598,0.6113249811879049,0.6098103013741091
0.8335468443077975,0.8068783068783069,0.8199957992018484,0.8890763775674334,0.6074093806098304,0.6108610082762753,0.6091327496332707
0.8263643417535994,0.7980184830571976,0.8119440914866582,0.8829615712016394,0.5939888628263963,0.5971808284899858,0.5955827072846321
0.8272410791993038,0.7869028893120291,0.8065679494250922,0.8778986760033434,0.5832369081878335,0.587605700557009,0.5854172290139878
0.8168717047451669,0.7801930339907679,0.7981111826572226,0.8710256693725329,0.5711638522261688,0.5743455428805349,0.5727524882360413
0.8189158016147635,0.776282590412111,0.7970294892275809,0.8703057083604084,0.5718875698168437,0.5751790334114213,0.5735309404271568
0.8180270585073022,0.7732046070460704,0.7949845443859115,0.8726698233590856,0.5718420980366274,0.5746902878201883,0.5732644240735421
0.8042888165038002,0.7707448192144282,0.787159619216294,0.8684503872424362,0.5636407779127381,0.5648624662732518,0.56425129145086
0.8003289774284931,0.7624934703116838,0.7809532301930536,0.8645950437216747,0.5544746154962652,0.5554433423859755,0.5549587675669465
0.8046709129511678,0.764380918975798,0.7840086342582183,0.8647858861067277,0.5648886534473305,0.5654152396151961,0.5651518851997469
0.7924281984334204,0.7578027465667915,0.774728781110402,0.8642914666192416,0.5523928471298412,0.5521676426406945,0.5522802334062535
0.776992651215376,0.7537013343081703,0.7651697903136018,0.8581350175792757,0.5411064367733629,0.5404004421751614,0.540753324258068
0.7791527843883865,0.7557012279567907,0.7672478440194975,0.8614212954981019,0.5497440796892361,0.5487062243879115,0.5492249068877775
0.7803751803751804,0.746342809826111,0.7629796839729119,0.8631115674915056,0.5436008760124185,0.5419560596022972,0.5427778447579149
0.7657981722729924,0.7454338979842907,0.7554788279863809,0.8586209900959175,0.5369204389283144,0.5354443582353368,0.536181890635451
0.7546187106918238,0.73680675494147,0.7456063695504418,0.8532760861422625,0.5233955799491787,0.521863137828618,0.5226287972145314
0.7452071123472732,0.7446153846153846,0.7449111309701122,0.8580911086498939,0.530288970015165,0.5302222050767686,0.530255586495163
0.7297650130548303,0.7491752577319588,0.7393427612168074,0.858093650645849,0.528374399695009,0.5310862715904563,0.5297286002641993
0.7291835905767668,0.7482546629154945,0.7385960401131396,0.8595341213347983,0.5310046060800069,0.5339000575465827,0.53245036364305
0.7237909436287093,0.7491763205441598,0.7362648840609985,0.8596217830080548,0.5319210249295223,0.5361913640912699,0.53405192626353
0.7111111111111111,0.7538529282254514,0.7318585016565139,0.8586370668393213,0.5309193148342153,0.5391095858865862,0.5349987775308125
0.6994747899159663,0.7547319505837017,0.7260535354086027,0.8578416269455302,0.5266175329465599,0.5382519263706267,0.5324029503759655
0.7120391031771331,0.7548721414892419,0.732830271216098,0.860084609068025,0.5397236137884729,0.5489763809665249,0.5443303374053023
0.7164820986990647,0.7610781178620375,0.7381071052777316,0.8645865465331086,0.5522490950878227,0.5625536881398361,0.5573775786785307
0.7156222802436901,0.7533211177278973,0.7339879491185003,0.8623855513334516,0.5479566773792082,0.5568831527470604,0.5524018845620796
0.7048007046905967,0.7540346330545412,0.7285868761026691,0.86352792596357,0.5436522907058781,0.5561748544567551,0.5498779261421787
0.7071213640922769,0.7515101267322042,0.7286403307303629,0.8624587259064469,0.5465519472852969,0.5582179819837487,0.5523541663307037
0.70450186167212,0.7504807692307692,0.7267648256998196,0.865236133264088,0.546942663129315,0.5595776421806926,0.5532240828470241
0.7058487548549235,0.7560259390676618,0.730076209605955,0.8703647277240174,0.5557546637747579,0.5703198955078754,0.562990179107979
0.7160208212839791,0.7534079844206426,0.7342387758733171,0.8723046445785614,0.5647590622874135,0.5758054379401392,0.5702555034290038
